"","Grouping","Sample Code","Culture Variable","Pre-acidification","Make Date","Milk Protein","Milk Fat","Milk P:F","Milk Acidity","Culture inoc rate","Response","value"
"82","Sensory Data","02012023-0-1-DVI","DVI","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","2.2100000000000001E-4","Whey Taint","0.36"
"83","Sensory Data","02012023-0-1-DVI","DVI","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","2.2100000000000001E-4","Astringent","1.1499999999999999"
"84","Sensory Data","02012023-0-1-DVI","DVI","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","2.2100000000000001E-4","Others","0"
"85","Process Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Coagulation pH","6.46"
"86","Process Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Coagulation time (minutes)","18.503333333333334"
"87","Process Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Whey removal pH","6.25"
"88","Process Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Mill pH","5.45"
"89","Process Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Inoc_PO Time","140"
"90","Process Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Inoc_Mill Time","230"
"91","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Moisture%","35.630000000000003"
"92","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Protein%","26.7"
"93","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Fat%","33.35"
"94","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","FDB","0.51809849308684164"
"95","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","MFFS","0.53458364591147789"
"96","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Salt%","1.61"
"97","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","S/M","4.5186640471512766E-2"
"98","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Ca","8.3499999999999998E-3"
"99","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Initial Cheese pH","5.0999999999999996"
"100","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","%NPN/TN","8.6516853932584278E-2"
"101","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","%NCN/TN","0.15168539325842698"
"102","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Total FFA%","2.3800000000000002E-2"
"103","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Glutamic Acid","1.34"
"104","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Leucine","1.27"
"105","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Lysine","0.438"
"106","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Aliphatic/acidc ratio","4.5259740259740262"
"107","Biochemical Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Total FAA (mg/g)","6.1689999999999987"
"108","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Hand Firmness","12.77"
"109","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Cohesiveness of Mass","11.71"
"110","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Adhesiveness","9.01"
"111","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Chewiness","6.34"
"112","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Particle Size","12.09"
"113","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Bitter","1.1599999999999999"
"114","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Acid","1.5"
"115","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Salt","5.87"
"116","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Sweet","0"
"117","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Savory","1.72"
"118","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Butter","0.66"
"119","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Brothy","1.51"
"120","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Sour","0.65"
"121","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Sulfur","1.5"
"122","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Rancid","1.25"
